"","x"
"806","Cep85"
"807","Smc4"
"808","Znhit1"
"809","Kif18b"
"810","Poc1a"
"811","Hdac8"
"812","Spdl1"
"813","Tbce"
"814","Rprd1b"
"815","Rnf167"
"816","Stambp"
"817","Slc25a33"
"818","Pak4"
"819","Ecd"
"820","Oip5"
"821","Vcpip1"
"822","3830403N18Rik"
"823","Prdm5"
"824","Cep192"
"825","Spdya"
"826","Hexim2"
"827","Nipbl"
"828","Rcbtb1"
"829","Foxn3"
"830","Usp19"
"831","Sfpq"
"832","Pds5a"
"833","Pnpt1"
"834","Cdc5l"
"835","Syde1"
"836","Lrrcc1"
"837","Mus81"
"838","Susd2"
"839","Klhdc3"
"840","Ankle2"
"841","Kif23"
"842","Syce2"
"843","Efhc1"
"844","Fam83d"
"845","Mad2l2"
"846","Haus5"
"847","Tube1"
"848","Tom1l1"
"849","Nanog"
"850","Ist1"
"851","Ppp2r2a"
"852","Esco2"
"853","Zfyve19"
"854","Alkbh4"
"855","Urgcp"
"856","Sapcd2"
"857","Dscc1"
"858","Naa50"
"859","Tpx2"
"860","Seh1l"
"861","Strada"
"862","Ccpg1"
"863","Lsm11"
"864","Dusp3"
"865","Cdkn3"
"866","Pinx1"
"867","Rhno1"
"868","Rps6kb1"
"869","Reep4"
"870","Lin9"
"871","Cul4b"
"872","Zfp655"
"873","Tdrkh"
"874","Rint1"
"875","Sass6"
"876","Pard3b"
"877","Xlr4c"
"878","Ccnt2"
"879","Appl1"
"880","Cenpv"
"881","Wasl"
"882","Ccsap"
"883","Tubb2b"
"884","Haus7"
"885","Thap1"
"886","Kif2c"
"887","Cep55"
"888","Usp16"
"889","Actr3"
"890","Katnb1"
"891","Cep97"
"892","Tubgcp2"
"893","Cyld"
"894","Xrcc3"
"895","Rptor"
"896","Rmi1"
"897","Specc1l"
"898","Cep72"
"899","4933427D14Rik"
"900","Mau2"
"901","Usp47"
"902","Mei4"
"903","Zbtb49"
"904","Anapc15"
"905","Chmp4b"
"906","Med25"
"907","Pik3r4"
"908","Nudt16"
"909","Brsk2"
"910","Ckap5"
"911","Senp2"
"912","Hormad2"
"913","Ncapg2"
"914","Gpsm2"
"915","Pcnp"
"916","Fbxo31"
"917","Haus8"
"918","Clasp2"
"919","Clasp1"
"920","Mzt1"
"921","Sdccag8"
"922","Dtl"
"923","Mnd1"
"924","Chmp5"
"925","Ticrr"
"926","Kdm8"
"927","Sun1"
"928","Ints7"
"929","Rab35"
"930","Myh10"
"931","Apex2"
"932","Bora"
"933","Esco1"
"934","Ube2s"
"935","Phf23"
"936","Klhdc8b"
"937","Cul9"
"938","Uvrag"
"939","Ncapd3"
"940","Efcab11"
"941","Fbxo43"
"942","Cacul1"
"943","1500015O10Rik"
"944","Gas2l1"
"945","Ern1"
"946","Recql4"
"947","Cdk5rap3"
"948","BC004004"
"949","Pum1"
"950","Ckap2"
"951","Ankrd17"
"952","Tfap4"
"953","Ndel1"
"954","Tex14"
"955","Tdrd1"
"956","Wdr6"
"957","Pde4dip"
"958","Cenpq"
"959","Phip"
"960","Usp8"
"961","Csnk1a1"
"962","Gpnmb"
"963","Pard6g"
"964","Pard3"
"965","Sirt1"
"966","Fkbp6"
"967","Prcc"
"968","Cdc123"
"969","Cep152"
"970","Anapc2"
"971","Ssx2ip"
"972","Cul4a"
"973","Golga2"
"974","Rcc1"
"975","Phactr4"
"976","Trrap"
"977","Pds5b"
"978","Mapre3"
"979","Hepacam2"
"980","Tada3"
"981","Ccp110"
"982","Numa1"
"983","Rrp8"
"984","Gadd45gip1"
"985","Hinfp"
"986","Bbs4"
"987","Sept10"
"988","Xpo1"
"989","Fbxw11"
"990","Tubg1"
"991","Tubg2"
"992","Inca1"
"993","Tex15"
"994","Csnk1d"
"995","E2f4"
"996","Bap1"
"997","Dgkz"
"998","Fancm"
"999","Pelo"
"1000","Cdk20"
"1001","Chmp7"
"1002","Scrib"
"1003","Sgsm3"
"1004","Mtbp"
"1005","Espl1"
"1006","Fbxo4"
"1007","Ttbk1"
"1008","Tcf19"
"1009","Psmg2"
"1010","Gbf1"
"1011","Atf5"
"1012","Mrpl41"
"1013","Thoc5"
"1014","Cdk9"
"1015","Cdc20"
"1016","Cenpf"
"1017","Camk2d"
"1018","Tbcd"
"1019","Nusap1"
"1020","Rcc2"
"1021","Cdca2"
"1022","E2f8"
"1023","Tpr"
"1024","Nabp1"
"1025","Uhrf2"
"1026","Prr5"
"1027","Pkn2"
"1028","Kif22"
"1029","Ehmt2"
"1030","Triobp"
"1031","Bcr"
"1032","Adarb1"
"1033","Fntb"
"1034","Rps6ka3"
"1035","Chaf1b"
"1036","M1ap"
"1037","Clic1"
"1038","Brdt"
"1039","Rad51c"
"1040","Vps4a"
"1041","Lsm10"
"1042","Mta3"
"1043","Dclre1b"
"1044","Recql5"
"1045","Snx18"
"1046","Usp33"
"1047","Zfp369"
"1048","H1foo"
"1049","Dicer1"
"1050","Flna"
"1051","Hexim1"
"1052","Hspa1a"
"1053","Eme2"
"1054","Mical3"
"1055","Klf11"
"1056","Pld6"
"1057","Utp14b"
"1058","Cetn4"
"1059","Chmp6"
"1060","Dot1l"
"1061","Kntc1"
"1062","Eif4g1"
"1063","Dis3l2"
"1064","Sde2"
"1065","Fanci"
"1066","Sirt7"
"1067","Gen1"
"1068","Trp53bp2"
"1069","Hace1"
"1070","Ttc28"
"1071","Hus1b"
"1072","Mcmbp"
"1073","Brcc3"
"1074","Lzts1"
"1075","Tfdp2"
"1076","Fancd2"
"1077","Cspp1"
"1078","Zfyve26"
"1079","Mapre2"
"1080","Spice1"
"1081","Prdm9"
"1082","Rassf4"
"1083","Ythdf2"
"1084","Map9"
"1085","Tet2"
"1086","Nudt15"
"1087","Cdk5rap2"
"1088","Cdc73"
"1089","Cep164"
"1090","Chtf18"
"1091","Chtf8"
"1092","Senp6"
"1093","Ncaph"
"1094","Rab11fip3"
"1095","Rassf2"
"1096","Stox1"
"1097","Zfp365"
"1098","Cdc34"
"1099","Wdr18"
"1100","Appl2"
"1101","Cep68"
"1102","Flcn"
"1103","Tom1l2"
"1104","Usp22"
"1105","Cntrob"
"1106","Chd3"
"1107","Kctd11"
"1108","Git1"
"1109","Trp53i13"
"1110","Taok1"
"1111","Nle1"
"1112","Tada2a"
"1113","Cdc27"
"1114","Llgl2"
"1115","Trappc12"
"1116","Mis18bp1"
"1117","Mlh3"
"1118","Nek9"
"1119","Nup153"
"1120","Cdc14b"
"1121","Ccno"
"1122","Wdhd1"
"1123","Dlgap5"
"1124","Haus4"
"1125","Cenpj"
"1126","Ska3"
"1127","Sun2"
"1128","Pim3"
"1129","Rmi2"
"1130","Marf1"
"1131","Klhl22"
"1132","Bag6"
"1133","Ubr2"
"1134","Wac"
"1135","Thoc1"
"1136","Rbbp8"
"1137","Pik3c3"
"1138","Pggt1b"
"1139","Cep120"
"1140","Cep76"
"1141","Haus1"
"1142","Pla2g16"
"1143","Ppp2r5b"
"1144","Smc5"
"1145","Lzts2"
"1146","Dyrk3"
"1147","Tiprl"
"1148","Ahctf1"
"1149","Stradb"
"1150","Ccnyl1"
"1151","Ctdsp1"
"1152","Gigyf2"
"1153","Tubb4b"
"1154","Nup214"
"1155","Rabgap1"
"1156","Pkp4"
"1157","Tlk1"
"1158","Madd"
"1159","Kif18a"
"1160","Nudt6"
"1161","Spg20"
"1162","Msto1"
"1163","Ints3"
"1164","Pogz"
"1165","Cdc14a"
"1166","Cenpe"
"1167","Haus6"
"1168","Zmpste24"
"1169","Pdik1l"
"1170","Eif4g3"
"1171","Crocc"
"1172","Tardbp"
"1173","Phf13"
"1174","Haus3"
"1175","Lin54"
"1176","Gak"
"1177","Chfr"
"1178","Rad9b"
"1179","Mepce"
